fecha_nacimiento,sexo,localidad_nacimiento,lugar_nacimiento,fecha_fallecimiento,localidad_fallecimiento,lugar_fallecimiento
1960-06-28,1,Maldonado,8,,,
1960-04-11,1,Tacuarembó,1,1961-05-17,Soriano,3
1960-04-23,2,Salto,9,2010-05-03,Salto,8
1960-05-18,2,Durazno,8,1963-01-22,Rocha,1
1960-05-22,1,Canelones,9,1967-07-22,Salto,3
1960-07-17,1,Rocha,8,,,
1960-05-21,1,Maldonado,3,,,
1960-02-29,2,Flores,1,,,
1960-11-23,1,Rivera,3,,,
1960-01-27,1,San José,1,,,
1960-01-09,8,San José,2,,,
1960-07-23,2,Colonia,2,,,
1960-08-10,9,Colonia,3,,,
1960-10-01,2,Soriano,9,,,
1960-09-07,1,Soriano,3,,,
1960-01-05,2,San José,3,2013-03-17,Cerro Largo,2
1960-11-17,1,Maldonado,9,,,
1960-09-01,8,Río Negro,1,1995-05-05,Tacuarembó,3
1960-05-31,1,Rocha,8,,,
1960-11-05,8,San José,9,,,
1960-12-01,8,Flores,9,,,
1960-12-05,2,Canelones,8,,,
1960-12-15,1,Rivera,2,1992-11-30,Salto,3
1960-03-12,1,Colonia,2,1998-07-02,Rivera,3
1960-04-24,1,Soriano,3,,,
1960-05-16,2,Rocha,2,,,
1960-10-20,2,Soriano,9,2004-08-02,Colonia,2
1960-01-02,1,Río Negro,9,1960-12-27,Canelones,9
1960-07-31,1,Artigas,1,,,
1960-10-28,2,Soriano,9,,,
1960-02-28,2,Montevideo,1,,,
1960-07-04,8,Colonia,1,,,
1960-11-16,2,Colonia,2,,,
1960-03-19,1,Maldonado,3,1993-01-09,Canelones,1
1960-02-07,1,Florida,1,2015-11-05,Río Negro,8
1960-01-01,1,Durazno,2,1994-07-09,Treinta y Tres,3
1960-12-08,1,Treinta y Tres,9,1965-07-31,Las Piedras,8
1960-11-08,1,Rocha,3,2022-12-22,Treinta y Tres,8
1960-04-19,2,Las Piedras,2,1979-11-23,Artigas,2
1960-09-16,2,Canelones,9,,,
1960-11-24,8,Salto,8,1972-02-21,Rocha,9
1960-08-24,2,Lavalleja,1,,,
1960-10-10,1,Colonia,8,,,
1960-11-07,1,Soriano,2,,,
1960-04-02,2,Cerro Largo,1,1964-01-12,Canelones,2
1960-12-06,9,Rivera,2,2002-08-07,Salto,2
1960-08-19,2,Colonia,9,,,
1960-09-16,9,Canelones,2,,,
1960-10-14,9,Rivera,3,,,
1960-08-05,9,Soriano,2,,,
1960-10-21,2,Treinta y Tres,2,,,
1960-04-20,9,Florida,8,1975-02-19,Las Piedras,2
1960-02-27,1,Río Negro,8,2019-10-18,Las Piedras,1
1960-03-10,2,Paysandú,1,,,
1960-11-23,2,Colonia,3,,,
1960-04-15,2,Rivera,2,2018-10-23,Río Negro,2
1960-03-12,1,Rivera,8,,,
1960-09-13,1,Flores,2,2010-03-12,Rivera,2
1960-06-02,1,Soriano,9,2016-05-04,Soriano,1
1960-04-16,8,Durazno,8,,,
1960-02-07,2,Colonia,2,2012-07-11,San José,8
1960-04-19,2,Lavalleja,8,2015-12-28,Las Piedras,2
1960-10-09,1,Colonia,2,,,
1960-08-20,2,Artigas,8,,,
1960-12-19,2,Tacuarembó,9,1995-10-31,Treinta y Tres,1
1960-01-21,1,Colonia,3,,,
1960-06-06,1,Salto,8,,,
1960-08-15,9,Rivera,2,,,
1960-01-05,8,Maldonado,8,,,
1960-01-17,1,Cerro Largo,8,,,
1960-01-20,9,Paysandú,2,,,
1960-10-13,2,Tacuarembó,1,,,
1960-08-09,1,Río Negro,2,,,
1960-03-06,1,Rivera,9,1961-12-31,Cerro Largo,8
1960-06-21,2,Florida,9,,,
1960-09-25,2,Río Negro,2,,,
1960-12-06,1,Rocha,3,,,
1960-06-16,1,Paysandú,1,,,
1960-09-30,1,Salto,9,,,
1960-07-10,1,Maldonado,3,,,
1960-07-25,9,Canelones,1,1982-04-24,Artigas,2
1960-04-01,2,Artigas,8,,,
1960-10-22,2,Soriano,2,1978-11-28,Montevideo,9
1960-06-09,2,Artigas,8,,,
1960-05-05,1,Soriano,2,,,
1960-10-27,1,Canelones,1,,,
1960-06-23,2,San José,9,,,
1960-09-26,9,Florida,8,1980-02-29,Tacuarembó,9
1960-09-19,1,Treinta y Tres,8,2002-04-02,Treinta y Tres,1
1960-01-14,9,Lavalleja,9,,,
1960-05-23,1,Florida,2,,,
1960-04-10,2,Salto,8,,,
1960-06-27,2,Artigas,1,,,
1960-02-08,1,Montevideo,2,,,
1960-08-01,1,Rivera,8,,,
1960-12-23,2,Lavalleja,8,1966-01-19,Rivera,1
1960-10-04,9,Paysandú,3,,,
1960-03-13,2,Río Negro,3,1995-06-17,Cerro Largo,3
1960-10-04,8,Rocha,2,,,
1960-07-13,2,Flores,3,2004-04-22,Soriano,1
1960-08-24,2,Treinta y Tres,1,,,
1960-01-03,1,Montevideo,9,,,
1960-01-01,2,Paysandú,1,2013-06-21,Durazno,3
1960-03-07,8,Río Negro,3,2017-04-21,San José,8
1960-08-28,1,Maldonado,9,,,
1960-05-03,2,Treinta y Tres,3,,,
1960-02-08,1,Salto,3,,,
1960-06-08,2,Treinta y Tres,3,,,
1960-09-08,8,Colonia,3,,,
1960-07-28,2,Soriano,9,,,
1960-10-11,1,Rocha,1,,,
